label,status,converged,kit_error_class,delivered_pct_of_plan,produced_pct_of_plan,exclusion_reason,belt-dead-end_errors,belt-detour_errors,belt-flow-path_errors,belt-flow-reachability_errors,input-rate-delivery_errors,orphan-belt-segment_errors,row-input-belt-margin_errors,unresolved-junction_errors,belt-dead-end_warnings,belt-detour_warnings,belt-flow-path_warnings,belt-flow-reachability_warnings,input-rate-delivery_warnings,orphan-belt-segment_warnings,row-input-belt-margin_warnings,unresolved-junction_warnings
tier1_iron_gear_wheel,measured,true,,101.333,100.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier1_iron_gear_wheel_from_ore,measured,true,,98.667,100.333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier1_iron_gear_wheel_20s,measured,true,,76.000,75.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier2_electronic_circuit,measured,true,,100.645,100.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier2_electronic_circuit_from_ore,measured,true,,92.121,93.333,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
tier2_electronic_circuit_20s_from_ore,measured,true,,102.500,100.000,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tier3_plastic_bar,non-converged,false,,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier3_plastic_bar_from_crude,measured,true,,98.667,100.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier3_sulfuric_acid,non-converged,false,,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier3_heavy_oil_cracking,non-converged,false,,,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier3_advanced_oil_processing_multi_machine,measured,true,,,150.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier3_advanced_oil_processing_forced_multi_machine_pipe_isolation,non-converged,false,,,158.333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier4_advanced_circuit_from_plates,measured,true,,101.672,100.334,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tier4_advanced_circuit_partitioned,kit-error,true,research-productivity parity,98.997,100.669,,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
tier4_advanced_circuit_from_ore_am2,measured,true,,100.645,98.065,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
tier5_processing_unit_from_ore_am3,measured,true,,86.550,87.719,,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
tier_kovarex_self_loop,non-converged,false,,0.000,0.000,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tier_uranium_processing_surplus_export,non-converged,false,,0.000,95.709,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier_uranium_processing_voider,awaiting-measurement,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier_pentapod_egg_self_loop,non-converged,false,,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier_fish_breeding_self_loop,non-converged,false,,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tier_bacteria_self_loop_regression,non-converged,false,,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stress_electronic_circuit_30s_from_ore,measured,true,,92.121,90.909,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0
stress_advanced_circuit_45s_from_plates,non-converged,false,,0.000,0.000,,12,0,0,0,0,0,0,2,0,0,13,553,480,1,10,0
stress_advanced_circuit_partitioned_5s_from_plates_pooled,non-converged,false,,100.339,101.695,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
stress_advanced_circuit_partitioned_5s_from_plates_partitioned,measured,true,,98.667,100.000,,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
stress_advanced_circuit_partitioned_4s_from_plates_pooled,measured,true,,101.333,100.333,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
stress_advanced_circuit_partitioned_4s_from_plates_partitioned,measured,true,,100.000,100.329,,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
stress_electronic_circuit_30s_decomposed_pooled,measured,true,,92.121,90.909,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0
stress_electronic_circuit_30s_decomposed_partitioned,measured,true,,99.394,99.394,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0
stress_electronic_circuit_60s_red_from_ore,measured,true,,90.667,89.833,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0
stress_electronic_circuit_22s_from_ore,measured,true,,99.394,95.455,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
stress_electronic_circuit_23s_from_ore,measured,true,,101.863,100.000,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
stress_electronic_circuit_35s_from_ore,non-converged,false,overlapping kit chests,0.000,0.000,,4,0,0,0,0,0,0,0,0,0,0,88,41,0,0,0
stress_electronic_circuit_40s_from_ore,non-converged,false,,0.000,0.000,,13,0,0,0,0,0,0,0,0,0,25,146,60,0,4,0
